fund_id,fund_name,manager_name,manager_status,completeness_score,status,enrichment_state,official_fund_profile_url,manager_logo_url,prospectus_url,factsheet_url,subscription_frequency,subscription_minimum,subscription_fee,redemption_frequency,redemption_fee,custodian,administrator,auditor,sponsor,missing_fields
kenz_foras_equity__arab_african_investment_management,Kenz Foras Equity,Arab African Investment Management,known,85.7,COMPLETE,COMPLETE,https://aaim.com.eg/en/what-we-offer/funds/kenz-foras,,https://aaim.com.eg/en/file/409/238af74a/Kenz+Foras+Prospectus.PDF,https://aaim.com.eg/en/file/500/ce9b50b3/Kenz+Foras+%281%29.pdf,Daily,10,Free,Daily,Free,HDBK,Catalyst,,AAIH,manager_logo_url|auditor
mubasher_equity__mubasher_asset_management,Mubasher Equity,Mubasher Asset Management,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
beltone_consumer_fund__beltone_asset_management,Beltone Consumer Fund,Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
agricultural_bank_of_egypt_fund_al_massy__hermes_portfolio_and_fund_management,Agricultural Bank of Egypt Fund (Al Massy),Hermes Portfolio and Fund Management,known,35.7,PARTIAL,PARTIAL,https://efgholding.com/en/our-services/mutual-funds/elmassy,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,https://efgholding.com/uploads/EN_ELMASSY_Factsheet_Q2_2026_877a6d36d8.pdf,,5 investment certificates,,,,,,,,prospectus_url|subscription_frequency|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
ni_capital_15_30__ni_capital,NI Capital 15/30,NI Capital,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
allianz__ci_asset_management,Allianz,CI Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
bokra_shakmagia__bokra,Bokra Shakmagia,Bokra,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
banque_misr_fund_i__ci_asset_management,Banque Misr Fund I,CI Asset Management,known,21.4,LOW,ENRICHED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,https://www.cicapital.com/wp-content/uploads/2025/03/FactSheet-BankMisr1stFund-Feb2025-En.pdf,,,,,,,,,,official_fund_profile_url|prospectus_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
ciam_6th_issue_the_quant__ci_asset_management,CIAM 6th Issue (The Quant),CI Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
odin_4__x,Odin 4,,unknown,0.0,LOW,NOT_STARTED,,,,,,,,,,,,,,manager_name|official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
